,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
70,2022-2023,4,Stuttgart,Florian Müller,GER,24,90.0,Away,Köln,Draw,1.0,0.0,1.0,100.0,0.5,4.0,11.0,36.4,33.0,5.0,30.3,34.3,6.0,16.7,26.7,15.0,1.0,6.7,1.0,17.8
71,2022-2023,4,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Home,Eintracht Frankfurt,Defeat,7.0,4.0,3.0,42.9,2.6,4.0,12.0,33.3,32.0,7.0,31.3,32.6,8.0,25.0,33.9,9.0,1.0,11.1,0.0,13.6
72,2022-2023,4,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Away,Werder Bremen,Win,3.0,3.0,1.0,33.3,1.5,4.0,17.0,23.5,18.0,1.0,77.8,54.4,7.0,42.9,40.1,4.0,0.0,0.0,0.0,11.5
73,2022-2023,5,Dortmund,Gregor Kobel,SUI,24,90.0,Home,Hoffenheim,Win,2.0,0.0,2.0,100.0,0.2,5.0,10.0,50.0,27.0,4.0,22.2,31.4,5.0,80.0,61.8,7.0,0.0,0.0,1.0,16.5
74,2022-2023,5,Hoffenheim,Oliver Baumann,GER,32,90.0,Away,Dortmund,Defeat,5.0,1.0,4.0,80.0,1.2,5.0,11.0,45.5,38.0,5.0,28.9,28.3,8.0,0.0,18.1,9.0,2.0,22.2,1.0,15.0
75,2022-2023,5,Bayer Leverkusen,Lukáš Hrádecký,FIN,32,90.0,Home,Freiburg,Defeat,3.0,3.0,0.0,0.0,2.9,4.0,10.0,40.0,22.0,5.0,40.9,35.2,3.0,33.3,37.0,5.0,0.0,0.0,0.0,9.0
76,2022-2023,5,Freiburg,Mark Flekken,NED,29,90.0,Away,Bayer Leverkusen,Win,6.0,2.0,4.0,66.7,2.3,8.0,17.0,47.1,41.0,5.0,39.0,40.9,3.0,33.3,33.0,5.0,1.0,20.0,0.0,13.1
77,2022-2023,5,Bochum,Manuel Riemann,GER,33,90.0,Home,Werder Bremen,Defeat,6.0,2.0,5.0,83.3,1.9,16.0,41.0,39.0,45.0,2.0,88.9,60.6,2.0,50.0,50.5,8.0,0.0,0.0,0.0,7.1
78,2022-2023,5,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Away,Bochum,Win,5.0,0.0,5.0,100.0,0.9,16.0,43.0,37.2,38.0,2.0,84.2,59.9,13.0,84.6,67.9,15.0,0.0,0.0,1.0,16.0
79,2022-2023,5,Wolfsburg,Koen Casteels,BEL,30,90.0,Home,Köln,Defeat,4.0,4.0,2.0,25.0,2.2,21.0,32.0,65.6,35.0,3.0,68.6,49.9,14.0,57.1,48.6,9.0,1.0,11.1,4.0,22.3
80,2022-2023,5,Köln,Marvin Schwäbe,GER,27,90.0,Away,Wolfsburg,Win,3.0,2.0,1.0,33.3,0.9,7.0,14.0,50.0,38.0,4.0,31.6,31.9,2.0,100.0,63.5,11.0,0.0,0.0,0.0,11.5
81,2022-2023,5,Union Berlin,Frederik Rønnow,DEN,30,90.0,Home,Bayern Munich,Draw,6.0,1.0,5.0,83.3,1.0,13.0,28.0,46.4,30.0,7.0,60.0,47.9,10.0,100.0,69.9,10.0,1.0,10.0,0.0,10.2
82,2022-2023,5,Bayern Munich,Manuel Neuer,GER,36,90.0,Away,Union Berlin,Draw,2.0,1.0,1.0,50.0,1.0,4.0,6.0,66.7,26.0,8.0,23.1,30.3,5.0,0.0,16.4,9.0,2.0,22.2,0.0,9.2
