,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
590,2019-2020,33,Werder Bremen,Jiří Pavlenka,CZE,28,90.0,Away,Mainz 05,Defeat,11,3,8,72.7,1.3,7,12,58.3,23,4,43.5,35.3,7,28.6,33.0,4,0,0.0,2,17.0
591,2019-2020,33,Bayern Munich,Sven Ulreich,GER,31,90.0,Home,Freiburg,Win,3,1,2,66.7,1.4,7,13,53.8,42,5,26.2,28.1,10,20.0,25.7,10,1,10.0,1,12.0
592,2019-2020,33,Freiburg,Alexander Schwolow,GER,28,90.0,Away,Bayern Munich,Defeat,9,3,5,66.7,2.5,8,22,36.4,38,8,31.6,32.1,15,66.7,55.5,12,0,0.0,0,12.6
593,2019-2020,33,Düsseldorf,Florian Kastenmeier,GER,22,90.0,Home,Augsburg,Draw,3,1,2,66.7,0.5,9,24,37.5,29,1,65.5,49.7,8,62.5,48.4,2,0,0.0,1,17.4
594,2019-2020,33,Augsburg,Andreas Luthe,GER,33,90.0,Away,Düsseldorf,Draw,2,1,1,50.0,0.6,7,27,25.9,44,4,54.5,43.7,6,50.0,44.3,12,1,8.3,0,10.5
595,2019-2020,33,RB Leipzig,Péter Gulácsi,HUN,30,90.0,Home,Dortmund,Defeat,7,2,4,71.4,2.8,5,7,71.4,30,7,20.0,30.5,5,20.0,27.4,3,0,0.0,0,20.0
596,2019-2020,33,Dortmund,Roman Bürki,SUI,29,90.0,Away,RB Leipzig,Win,4,0,4,100.0,1.1,2,13,15.4,28,9,32.1,32.5,9,44.4,44.4,14,2,14.3,0,10.4
597,2019-2020,33,Köln,Timo Horn,GER,27,90.0,Home,Eintracht Frankfurt,Draw,3,1,2,66.7,1.0,8,24,33.3,26,5,57.7,47.9,10,90.0,68.1,13,2,15.4,0,12.9
598,2019-2020,33,Eintracht Frankfurt,Frederik Rønnow,DEN,27,90.0,Away,Köln,Draw,1,1,1,100.0,1.1,14,23,60.9,52,5,44.2,36.9,3,0.0,13.3,8,0,0.0,0,12.7
599,2019-2020,34,Werder Bremen,Jiří Pavlenka,CZE,28,90.0,Home,Köln,Win,2,1,1,50.0,0.4,3,10,30.0,21,5,33.3,33.4,5,60.0,50.6,10,1,10.0,0,11.1
